silleninnimillisecspace,lamptab,stato
0 ,1,0
0 ,2,0
0 ,3,0
0 ,4,0
0 ,5,0
0 ,6,0
17774 ,1	,1 start accensione in fila
19885 ,1	,0
19885 ,2	,1
21979 ,2	,0
21979 ,3	,1
24175 ,3	,0
24175 ,4	,1
26294 ,4	,0
26294 ,5	,1
28400 ,5	,0
28400 ,6	,1 fine accensione in fila
30532 ,6	,0 
30532 ,5	,1
31320 ,5	,0
31320 ,4	,1
32150 ,4	,0
32150 ,3	,1
33216 ,3	,0
33216 ,2	,1
34211 ,2	,0
35079 ,1	,1 start seq accensione due a due
35079 ,2	,1
35498 ,1	,0
35498 ,2	,0
35498 ,3	,1
35498 ,4	,1
35920 ,3	,0
35920 ,4	,0
35920 ,5	,1
35920 ,6	,1 end seq
36330 ,5	,0
36330 ,6	,0 
37746 ,1	,1
37746 ,2	,1
37160 ,1	,0
37160 ,2	,0
37160 ,3	,1
37160 ,4	,1
37590 ,3	,0
37590 ,4	,0
37590 ,5	,1
37590 ,6	,1
38006 ,5	,0
38006 ,6	,0
38443 ,START_SEQ_RAPIDA,1
038443,1,1
038443,6,1
038524,2,1
038564,1,0
038605,3,1
038645,2,0
038686,4,1
038726,3,0
038767,5,1
038676,6,0
038797,4,0
038837,5,0
038837,END_SEQ_RAPIDA,1
038852,1,1
038933,6,1
038933,2,1
038974,1,0
039013,3,1
039053,2,0
039094,4,1
039134,3,0
039175,5,1
039175,6,0
039215,4,0
039256,5,0
039268,1,1
039268,6,1
039337,2,1
039377,1,0
039418,3,1
039458,2,0
039499,4,1
039539,3,0
039580,5,1
039580,6,0
039620,4,0
039661,5,0
039690,1,1
039690,6,1
039742,2,1
039782,1,0
039823,3,1
039863,2,0
039904,4,1
039944,3,0
039985,5,1
039985,6,0
040025,4,0
040065,5,0
040112,1,1
040112,6,1
040146,2,1
040186,1,0
040227,3,1
040267,2,0
040308,4,1
040348,3,0
040388,5,1
040388,6,0
040428,4,0
040469,5,0
040524,1,1
040524,6,1
040605,2,1
040645,1,0
040686,3,1
040726,2,0
040767,4,1
040807,3,0
040848,5,1
040848,6,0
040888,4,0
040928,5,0



